route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1938,1,12,Trembeckiego ZTM pętla 01 - Budziwojska pętla 22,3,D32A00,F5F5F5
1977,1,20,Bardowskiego 03 - Bratkowice las 01,3,D32A00,F5F5F5
1536,1,42,Piłsudskiego U. Marszałkowski 08 - Bł. Karoliny 09,3,D32A00,F5F5F5
1849,1,15,Olbrachta pętla 09 - Zwięczycka MPWiK 05  p. Jarową,3,D32A00,F5F5F5
1828,1,18,Obr. Poczty Gdańskiej pętla 08 - Pienińska pętla 03,3,D32A00,F5F5F5
1482,1,22,Mrowla Otoka pętla 01 - Bardowskiego 04,3,D32A00,F5F5F5
1632,1,N2,Słocińska pętla 11 nż - Bł. Karoliny pętla 09,3,31285F,D6D4DF
1897,1,8,Sikorskiego MPGK 20 - Rudna Wielka zakręt 04 nż,3,D32A00,F5F5F5
756,1,3,Boguchwała 97 - Krakowska granica 15,3,D32A00,F5F5F5
2074,1,58,Hermanowa Czerwonki pętla 64 - Dworzec Lokalny p. Hermanową pętla,3,D32A00,F5F5F5
1917,1,8,Rudna Wielka zakręt 04 - Sikorskiego MPGK 20,3,D32A00,F5F5F5
1408,1,61,Łukasiewicza pętla 08 - Łukasiewicza pętla 08,3,D32A00,F5F5F5
1823,1,47,Baligrodzka 01 - Dworaka targ 01,3,D32A00,F5F5F5
1848,1,37,Hermanowa Przylasek pętla 05 - Trembeckiego ZTM pętla 01,3,D32A00,F5F5F5
1954,1,13,Lwowska szpital pętla 02 - Wita Stwosza pętla 01,3,D32A00,F5F5F5
1457,1,51,Bardowskiego 04 - Jasionka EME Aero 02,3,D32A00,F5F5F5
1877,1,0B,Dworzec Główny PKP 03 - Dworzec Główny PKP 03,3,D32A00,F5F5F5
1846,1,11,Potockiego pętla 10 - Matuszczaka pętla 04,3,D32A00,F5F5F5
1930,1,18,Obr. Poczty Gdańskiej pętla 08 - Łukasiewicza pętla 10,3,D32A00,F5F5F5
1886,1,16,Kalinowa pętla 04 - Św. Rocha lasek pętla 11,3,D32A00,F5F5F5
760,1,3,Krakowska granica 15 - Boguchwała 97,3,D32A00,F5F5F5
1631,1,2,Baligrodzka 01 - Kard. K. Wojtyły pętla 03 nż,3,D32A00,F5F5F5
1438,1,51,Jasionka EME Aero 01 - Bardowskiego 02,3,D32A00,F5F5F5
1932,1,40,Łukasiewicza pętla 08 - Bł. Karoliny pętla 09,3,D32A00,F5F5F5
953,1,28,Lubelska Zajezdnia MPK - Racławówka Zabierzów 23,3,D32A00,F5F5F5
1830,1,37,Trembeckiego ZTM pętla 01 - Hermanowa Przylasek pętla 03,3,D32A00,F5F5F5
1839,1,59,Trembeckiego ZTM pętla 01 - Przemysłowa U. Celny 05 nż,3,D32A00,F5F5F5
1836,1,49,Św. Rocha lasek pętla 11 - Przemysłowa U. Celny 05 nż,3,D32A00,F5F5F5
1944,1,18,Pienińska pętla 03 - Obr. Poczty Gdańskiej pętla 08,3,D32A00,F5F5F5
1476,1,22,Bardowskiego 01 - Trzciana pętla 05,3,D32A00,F5F5F5
1937,1,0A,Dworzec Główny PKP 01 - Dworzec Główny PKP 01,3,D32A00,F5F5F5
1910,1,31,Lubelska Zajezdnia MPK - Sikorskiego MPGK 20,3,D32A00,F5F5F5
1660,1,14,Dworzec Lokalny - Kard. K. Wojtyły pętla 03 nż,3,D32A00,F5F5F5
1861,1,6,Ustrzycka pętla 01 nż - Malawa OSP 06 nż,3,D32A00,F5F5F5
1853,1,9,Staroniwska pętla 12 nż - Olbrachta pętla 09,3,D32A00,F5F5F5
1487,1,39,Przemysłowa U. Celny 05 - Dworzec Lokalny,3,D32A00,F5F5F5
1929,1,16,Św. Rocha lasek pętla 11 - Kalinowa pętla 04,3,D32A00,F5F5F5
2062,1,58,Dworzec Lokalny - Hermanowa Czerwonki pętla 64 p. Hermanową pętla,3,D32A00,F5F5F5
1916,1,1,Krakowska granica 15 nż - Załęska zakład karny 08 nż,3,D32A00,F5F5F5
1945,1,1,Spichlerzowa pętla 04 - Krakowska granica 15,3,D32A00,F5F5F5
1058,1,33,Lubelska Zajezdnia MPK - Kalinowa pętla 04,3,D32A00,F5F5F5
1826,1,17,Przemysłowa U. Celny 05 nż - Lwowska szpital pętla 02,3,D32A00,F5F5F5
1890,1,26,Krakowska granica 15 nż - Cienista cmentarz 04,3,D32A00,F5F5F5
1874,1,17,Lwowska szpital pętla 02 - Wita Stwosza pętla 01,3,D32A00,F5F5F5
1902,1,26,Cienista cmentarz 01 - Krakowska granica 15 nż,3,D32A00,F5F5F5
1966,1,43,Dworaka targ 01 - Żołnierzy 9 DP bloki 06 nż,3,D32A00,F5F5F5
1535,1,23,Lubelska Zajezdnia MPK - Matuszczaka pętla 04,3,D32A00,F5F5F5
1961,1,27,Baligrodzka 01 - Cienista cmentarz 04,3,D32A00,F5F5F5
1952,1,15,Olbrachta pętla 09 - Piłsudskiego U. Wojewódzki 06,3,D32A00,F5F5F5
982,1,30,Matuszczaka pętla 04 - Mikołajczyka pętla 01,3,D32A00,F5F5F5
2046,1,24,Miłocińska pętla 01 - Matuszczaka pętla 04,3,D32A00,F5F5F5
1970,1,26,Cienista cmentarz 01 - Biznesowa 06,3,D32A00,F5F5F5
2040,1,44,Dworaka targ 01 - Królka pętla 10,3,D32A00,F5F5F5
994,1,30,Mikołajczyka pętla 03 - Matuszczaka pętla 04,3,D32A00,F5F5F5
1478,1,22,Bardowskiego 01 - Świlcza 58,3,D32A00,F5F5F5
1841,1,15,Piłsudskiego U. Wojewódzki 05 - Olbrachta pętla 09,3,D32A00,F5F5F5
736,1,3,Krakowska granica 15 - Lutoryż pętla 04,3,D32A00,F5F5F5
1913,1,27,Cienista cmentarz 01 - Baligrodzka 01,3,D32A00,F5F5F5
1955,1,35,Kielanówka pętla 14 - Bardowskiego 04,3,D32A00,F5F5F5
1833,1,7,Dworzec Lokalny - Krasne Auchan 01 p. Dworaka targ,3,D32A00,F5F5F5
1865,1,4,Lubelska Zajezdnia MPK - Krasne Auchan 01,3,D32A00,F5F5F5
1972,1,12,Budziwojska pętla 22 nż - Trembeckiego ZTM pętla 01,3,D32A00,F5F5F5
952,1,28,Lubelska Zajezdnia MPK - Beskidzka granica 07,3,D32A00,F5F5F5
1950,1,8,Warszawska / Borowa 08 nż - Sikorskiego MPGK 20 p. Pogwizdowską,3,D32A00,F5F5F5
1862,1,19,Łukasiewicza pętla 10 - Miłocińska pętla 01,3,D32A00,F5F5F5
1492,1,22,Bardowskiego 01 - Mrowla Otoka pętla 01,3,D32A00,F5F5F5
1962,1,1,Krakowska granica 15 nż - Spichlerzowa pętla 04 nż,3,D32A00,F5F5F5
2047,1,19,Miłocińska pętla 01 - Łukasiewicza pętla 10,3,D32A00,F5F5F5
1633,1,2,Kard. K. Wojtyły pętla 03 nż - Baligrodzka 01,3,D32A00,F5F5F5
1901,1,31,Sikorskiego MPGK 20 - Lubelska Zajezdnia MPK,3,D32A00,F5F5F5
1903,1,34,Lwowska szpital pętla 02 - Kielanówka pętla 10,3,D32A00,F5F5F5
2037,1,44,Tyczyn Kopernika 02 - Dworaka targ 01,3,D32A00,F5F5F5
1928,1,34,Błękitne Wzgórze / Leśne Wzgórze 03 - Lwowska szpital pętla 02,3,D32A00,F5F5F5
1529,1,42,Bł. Karoliny 09 - Bł. Karoliny 09,3,D32A00,F5F5F5
1822,1,18,Łukasiewicza pętla 10 - Obr. Poczty Gdańskiej pętla 08,3,D32A00,F5F5F5
912,1,41,Bardowskiego 01 - Potockiego pętla 10,3,D32A00,F5F5F5
1960,1,10,Bł. Karoliny 09 - Łukasiewicza pętla 08 p. Wywrockiego,3,D32A00,F5F5F5
1939,1,32,Niepodległości / Rejtana 02 - Obr. Poczty Gdańskiej pętla 08,3,D32A00,F5F5F5
1887,1,17,Lwowska szpital pętla 02 - Przemysłowa U. Celny 05,3,D32A00,F5F5F5
1626,1,52,Zaczernie ML System / Fibrain 03 - Bardowskiego 04,3,D32A00,F5F5F5
1893,1,1,Krakowska granica 15 nż - Spichlerzowa pętla 04 nż p. Ciepłowniczą EC,3,D32A00,F5F5F5
1968,1,57,Dworaka targ 01 - Dworaka targ 01,3,D32A00,F5F5F5
956,1,28,Beskidzka granica 07 - Lubelska Zajezdnia MPK,3,D32A00,F5F5F5
955,1,28,Lubelska Zajezdnia MPK - Beskidzka granica 07 p. Racławówkę Doły,3,D32A00,F5F5F5
1907,1,1,Załęska Zakład Karny 08 - Krakowska granica 15,3,D32A00,F5F5F5
1628,1,52,Bardowskiego 03 - Zaczernie ML System / Fibrain 03,3,D32A00,F5F5F5
1856,1,6,Słocińska pętla 11 nż - Ustrzycka pętla 02 nż,3,D32A00,F5F5F5
1852,1,36,Św. Rocha lasek pętla 11 - Bł. Karoliny pętla 09,3,D32A00,F5F5F5
1835,1,45,Bardowskiego 02 - Mogielnica pętla 01,3,D32A00,F5F5F5
1659,1,14,Kard. K. Wojtyły pętla 03 nż - Dworzec Lokalny,3,D32A00,F5F5F5
1859,1,26,Biznesowa 06 - Cienista cmentarz 04,3,D32A00,F5F5F5
1770,1,28,Racławówka Zabierzów 23 - Lubelska Zajezdnia MPK p. Racławówkę Doły,3,D32A00,F5F5F5
1765,1,51,Bardowskiego 01 - Jasionka - Port Lotniczy,3,D32A00,F5F5F5
1061,1,33,Kalinowa pętla 04 - Lubelska Zajezdnia MPK,3,D32A00,F5F5F5
1965,1,47,Dworaka targ 01 - Baligrodzka 01,3,D32A00,F5F5F5
1857,1,15,Cieplińskiego 02 - Zwięczycka MPWiK 05,3,D32A00,F5F5F5
1844,1,11,Matuszczaka pętla 04 - Potockiego pętla 10,3,D32A00,F5F5F5
1834,1,19,Obr. Poczty Gdańskiej pętla 08 - Łukasiewicza pętla 10,3,D32A00,F5F5F5
954,1,28,Beskidzka granica 07 - Lubelska Zajezdnia MPK p. Racławówkę Doły,3,D32A00,F5F5F5
1850,1,10,Łukasiewicza pętla 08 - Bł. Karoliny pętla 09 p. Wywrockiego,3,D32A00,F5F5F5
1934,1,6,Słocińska pętla 11 nż - Ustrzycka 06 nż,3,D32A00,F5F5F5
774,1,3,Lutoryż pętla 04 - Krakowska granica 15,3,D32A00,F5F5F5
1819,1,9,Olbrachta pętla 09 - Staroniwska pętla 12 nż,3,D32A00,F5F5F5
1829,1,34,Kielanówka pętla 14 - Lwowska szpital pętla 02,3,D32A00,F5F5F5
1842,1,8,Staromiejska / Lubelska 02 nż - Rudna Wielka zakręt 04 nż,3,D32A00,F5F5F5
1908,1,16,Wyzwolenia / Lubelska 02 nż - Kalinowa pętla 04,3,D32A00,F5F5F5
1838,1,6,Piłsudskiego U. Wojewódzki 03 - Słocińska pętla 11,3,D32A00,F5F5F5
1881,1,15,Zwięczycka MPWiK 05 - Olbrachta pętla 09 p. Jarową,3,D32A00,F5F5F5
1832,1,32,Obr. Poczty Gdańskiej pętla 08 - Niepodległości / Rejtana 02,3,D32A00,F5F5F5
2036,1,60,Św. Rocha kapliczka 08 nż - Olbrachta pętla 09,3,D32A00,F5F5F5
1840,1,36,Bł. Karoliny 09 - Św. Rocha lasek pętla 11,3,D32A00,F5F5F5
1871,1,4,Krasne Auchan 01 - Lubelska Zajezdnia MPK p. Cienistą cmentarz,3,D32A00,F5F5F5
1969,1,7,Dworzec Lokalny - Krasne Auchan 01,3,D32A00,F5F5F5
2041,1,44,Królka pętla 10 - Dworaka targ 01,3,D32A00,F5F5F5
1635,1,54,Bardowskiego 03 - Głogów Młp. Leniar I 01 nż,3,D32A00,F5F5F5
1629,1,54,Głogów Młp. Zelmer II 02 - Bardowskiego 02,3,D32A00,F5F5F5
1904,1,36,Cieplińskiego 02 - Św. Rocha lasek pętla 11,3,D32A00,F5F5F5
1926,1,43,Żołnierzy 9 Dyw. Piechoty bloki 06 nż - Dworaka targ 01,3,D32A00,F5F5F5
1956,1,6,Ustrzycka pętla 01 - Słocińska pętla 11,3,D32A00,F5F5F5
1953,1,35,Bardowskiego 02 - Kielanówka pętla 10,3,D32A00,F5F5F5
1878,1,8,Sikorskiego MPGK 20 - Warszawska / Borowa 07 nż p. Pogwizdowską,3,D32A00,F5F5F5
1967,1,4,Lubelska Zajezdnia MPK - Krasne Auchan 01 p. Cienistą cmentarz,3,D32A00,F5F5F5
1940,1,16,Lubelska szpital 01 - Św. Rocha lasek pętla 11,3,D32A00,F5F5F5
1471,1,22,Świlcza 58 - Bardowskiego 04,3,D32A00,F5F5F5
1866,1,4,Krasne Auchan 01 - Lubelska Zajezdnia MPK,3,D32A00,F5F5F5
1831,1,6,Malawa OSP 06 nż - Ustrzycka pętla 02 nż,3,D32A00,F5F5F5
