route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,brigade
1938,1,227361,Budziwojska,1,11935,1,46/1
1977,1,223531,Bratkowice,1,11709,2,37/2
1536,1,208491,Bł. Karoliny,1,10901,3,10/5
1849,2,226808,Zwięczycka MPWiK p. Jarową,0,11905,4,15/1
1828,1,223532,Pienińska,1,11710,5,18/4
1482,3,219255,Bardowskiego,0,11467,6,22/1
1632,2,221768,Bł. Karoliny,0,11606,7,N2/1
1897,1,208494,Rudna Wielka,0,11189,8,8/1
756,4,207276,Krakowska,0,10778,9,3/2
2074,2,225312,Dworzec Lokalny,0,11849,10,59/1
1917,1,208496,Sikorskiego,1,10988,11,8/5
1408,1,198216,Łukasiewicza,1,10217,12,61/1
1823,4,208498,Dworaka targ,1,10868,13,47/1
1848,1,216193,Trembeckiego ZTM,0,11291,14,37/8
1954,3,208499,Wita Stwosza,0,11098,15,17/2
1457,1,207277,Jasionka Strefa S1,1,10785,16,51/2
1877,3,221769,Dworzec Główny PKP,1,11607,17,0A/1
1846,1,208503,Matuszczaka,0,11177,18,11/1
1930,1,223533,Łukasiewicza,1,11710,19,18/4
1897,3,208509,Rudna Wielka,0,11201,8,8/1
1846,1,208510,Matuszczaka,0,11178,18,11/2
1886,2,208511,Św. Rocha,1,11117,20,16/2
1877,1,222221,Dworzec Główny PKP,1,11635,17,0B/4
760,4,208512,Boguchwała,1,11245,21,3/6
1631,4,208514,Kard. K. Wojtyły,1,10861,22,2/1
1438,4,207278,Bardowskiego,0,10776,23,51/2
1932,4,208517,Bł. Karoliny,0,10886,24,10/7
1932,1,208518,Bł. Karoliny,0,10898,24,10/3
953,2,225317,Racławówka Zabierzów,1,11869,25,28/1
1830,1,223534,Hermanowa Przylasek,1,11711,26,37/1
1839,1,208519,Przemysłowa U. Celny,1,10836,27,59/1
1836,1,208520,Przemysłowa U. Celny,1,10855,28,36/3
1944,1,223535,Obr. Poczty Gdańskiej,0,11712,29,18/3
1476,1,223536,Trzciana,1,11709,30,37/2
1937,3,221770,Dworzec Główny PKP,1,11607,31,0A/1
1846,2,226811,Matuszczaka,0,11899,18,11/1
1910,1,223537,Sikorskiego,1,11713,32,31/4
1660,1,222223,Kard. K. Wojtyły,1,11688,33,14/3
1861,1,222224,Malawa,1,11697,34,6/1
1457,3,198234,Jasionka Strefa S1,1,10234,16,51/1
1954,2,208531,Wita Stwosza,0,11138,15,13/1
1853,1,208315,Olbrachta,1,10814,35,9/1
1487,1,198238,Dworzec Lokalny,0,10238,36,3/4
1929,1,208533,Kalinowa,0,11119,37,16/2
2062,2,225320,Hermanowa Czerwonki,1,11848,38,58/1
1937,3,221771,Dworzec Główny PKP,1,11608,31,0B/1
1916,3,208534,Załęska,1,11233,39,1/2
1828,1,223539,Pienińska,1,11710,5,18/4
1945,3,208536,Krakowska,0,11232,40,1/1
1954,4,226813,Wita Stwosza,0,11919,15,13/2
1058,4,216198,Kalinowa,1,11294,41,22/1
1826,1,208537,Lwowska szpital,1,11079,42,17/1
1890,3,227690,Cienista cmentarz,1,11950,43,26/2
1874,3,208538,Wita Stwosza,0,11092,44,13/1
1848,3,208539,Trembeckiego ZTM,0,10828,14,12/2
1848,4,221772,Trembeckiego ZTM,0,11609,14,37/2
1902,2,227691,Krakowska,0,11951,45,26/1
1848,4,221773,Trembeckiego ZTM,0,11609,14,37/2
1932,4,223542,Bł. Karoliny,0,11717,24,24/2
1966,3,225322,Żołnierzy 9 Dyw. Piechoty,1,11873,46,43/1
1848,4,220070,Trembeckiego ZTM,0,11522,14,40/1
1910,3,220349,Sikorskiego,1,11543,32,31/2
1535,1,227362,Matuszczaka,1,11948,47,14/2
756,3,208546,Krakowska,0,11240,9,3/2
1961,3,208548,Cienista cmentarz,1,11006,48,27/1
1846,1,208549,Matuszczaka,0,11179,18,11/3
1952,2,226814,Piłsudskiego U. Wojewódzki,0,11904,49,15/2
1631,4,208551,Kard. K. Wojtyły,1,11010,22,27/4
982,4,208553,Mikołajczyka,0,11181,50,30/1
2046,4,223543,Matuszczaka,1,11717,51,24/2
1408,1,198258,Łukasiewicza,1,10217,12,61/1
1970,4,227692,Biznesowa,0,11952,52,26/4
1954,2,208554,Wita Stwosza,0,11095,15,13/4
2040,4,227363,Kielnarowa,1,11940,53,44/1
1476,1,216199,Trzciana,1,11298,30,22/1
1660,4,222228,Kard. K. Wojtyły,1,11679,33,14/3
994,2,198263,Matuszczaka,1,10260,54,30/3
1478,3,219262,Świlcza,1,11467,55,22/1
982,4,208559,Mikołajczyka,0,11183,50,30/3
1877,2,221774,Dworzec Główny PKP,1,11610,17,0B/1
1841,2,226817,Olbrachta,1,11904,56,15/2
736,1,208563,Lutoryż,1,11227,57,3/1
1849,1,225325,Zwięczycka MPWiK p. Jarową,0,11844,4,15/1
1913,1,216201,Baligrodzka,0,11306,58,2/2
1955,1,225326,Bardowskiego,0,11876,59,35/2
1937,2,221775,Dworzec Główny PKP,1,11611,31,0A/1
1833,2,226818,Krasne CH p. Dworaka targ,1,11903,60,7/1
1877,4,221776,Dworzec Główny PKP,1,11612,17,0B/4
1938,2,208566,Budziwojska,1,11150,1,12/2
1937,4,221777,Dworzec Główny PKP,1,11613,31,0A/5
1865,1,216202,Krasne CH,1,11311,61,4/3
1932,4,208570,Bł. Karoliny,0,10886,24,10/7
1938,1,223544,Budziwojska,1,11718,1,12/12
1972,2,221778,Trembeckiego ZTM,0,11606,62,N2/1
952,4,203434,Beskidzka,1,10599,63,28/4
1839,1,208572,Przemysłowa U. Celny,1,10836,27,59/1
1950,1,208574,Sikorskiego p. Pogwizdowską,1,11190,64,8/2
1862,1,223545,Miłocińska,0,11719,65,19/4
1492,1,216203,Mrowla Otoka,1,11298,66,22/1
1962,1,208578,Spichlerzowa,1,11123,67,16/6
1826,1,208579,Lwowska szpital,1,11079,42,17/1
1848,1,208580,Trembeckiego ZTM,0,10916,14,12/7
2047,4,223546,Łukasiewicza,1,11720,68,19/4
1633,4,208582,Baligrodzka,0,11005,69,2/3
1901,4,208584,Lubelska MPK,0,10991,70,31/2
1826,4,208585,Lwowska szpital,1,11090,42,17/5
1903,4,226819,Kielanówka,0,11925,71,34/5
1954,4,226820,Wita Stwosza,0,11926,15,34/3
2037,2,227365,Dworaka targ,0,11938,72,44/1
1862,3,223548,Miłocińska,0,11722,65,19/1
1633,3,198290,Baligrodzka,0,10281,69,2/1
1928,1,225330,Lwowska szpital,1,11887,73,13/4
1839,3,208586,Przemysłowa U. Celny,1,10830,27,59/1
1529,4,222233,Bł. Karoliny,1,11707,74,10/4
1954,4,226821,Wita Stwosza,0,11923,15,34/4
1849,4,208588,Zwięczycka MPWiK p. Jarową,0,11085,4,15/1
2037,2,227366,Dworaka targ,0,11938,72,44/1
1877,4,221779,Dworzec Główny PKP,1,11612,17,0B/4
1862,4,223550,Miłocińska,0,11720,65,19/4
1822,1,223551,Obr. Poczty Gdańskiej,0,11723,75,18/2
2047,4,223552,Łukasiewicza,1,11724,68,19/1
1929,4,208590,Kalinowa,0,11109,37,16/3
912,1,227367,Potockiego,1,11945,76,58/3
1910,4,208591,Sikorskiego,1,10990,32,31/1
1853,4,208316,Olbrachta,1,10812,35,9/2
1897,4,208593,Rudna Wielka,0,11192,8,8/1
1839,1,222235,Przemysłowa U. Celny,1,11673,27,60/1
1877,1,222236,Dworzec Główny PKP,1,11635,17,0B/4
1960,1,208597,Łukasiewicza p. Wywrockiego,1,10897,77,10/2
1939,4,223554,Obr. Poczty Gdańskiej,0,11725,78,41/2
1828,3,223555,Pienińska,1,11726,5,18/2
1887,1,208601,Przemysłowa U. Celny,0,11081,79,17/3
1830,1,222237,Hermanowa Przylasek,1,11685,26,37/3
1626,1,198308,Bardowskiego,0,10296,80,52/1
1893,2,226822,Spichlerzowa p. Ciepłowniczą,1,11901,81,1/1
1853,2,208317,Olbrachta,1,10816,35,9/1
1972,3,208603,Trembeckiego ZTM,0,10829,62,37/2
1938,4,221780,Budziwojska,1,11609,1,37/2
1968,4,208605,Dworaka targ,1,10852,82,57/1
982,4,208606,Mikołajczyka,0,11181,50,30/1
956,4,203452,Lubelska MPK,0,10598,83,28/3
1626,4,203453,Bardowskiego,0,10560,80,52/1
1901,4,208612,Lubelska MPK,0,10993,70,31/4
1887,2,208613,Przemysłowa U. Celny,0,10955,79,17/3
1930,4,223556,Łukasiewicza,1,11727,19,19/8
1457,4,220071,Jasionka Strefa S1,1,11511,16,12/3
1877,2,221781,Dworzec Główny PKP,1,11610,17,0B/1
1535,1,198319,Matuszczaka,1,10306,47,23/2
955,4,223558,Beskidzka p. Racławówkę Doły,1,11729,84,28/2
1910,3,220352,Sikorskiego,1,11542,32,31/1
1529,1,208626,Bł. Karoliny,1,10896,74,10/1
1907,3,208627,Krakowska,0,11233,85,1/2
1628,2,208628,Zaczernie Strefa S1-3,1,10832,86,35/1
1944,1,223559,Obr. Poczty Gdańskiej,0,11723,29,18/2
1823,2,225332,Dworaka targ,1,11858,13,47/1
2074,3,225333,Dworzec Lokalny,0,11854,10,58/1
1954,1,225334,Wita Stwosza,0,11888,15,34/5
1862,4,223561,Miłocińska,0,11731,65,18/4
1861,1,222241,Malawa,1,11697,34,6/1
982,4,222242,Mikołajczyka,0,11695,50,6/1
756,3,198323,Krakowska,0,10309,9,3/1
1862,1,223563,Miłocińska,0,11733,65,19/6
1874,2,208635,Wita Stwosza,0,11096,44,13/5
1856,3,222243,Ustrzycka,0,11702,87,6/1
1852,3,208637,Bł. Karoliny,0,10924,88,36/1
1835,1,208639,Mogielnica,1,10874,89,45/1
1659,4,222244,Dworzec Lokalny,0,11682,90,14/1
1877,1,222245,Dworzec Główny PKP,1,11635,17,0B/4
1859,4,227693,Cienista cmentarz,1,11953,91,26/2
1903,4,226825,Kielanówka,0,11922,71,34/7
1770,4,203465,Lubelska MPK p. Racławówkę Doły,0,10598,92,28/3
982,3,217645,Mikołajczyka,0,11371,50,30/1
1944,1,223564,Obr. Poczty Gdańskiej,0,11723,29,18/2
1835,4,222247,Mogielnica,1,11691,89,6/6
1902,4,227694,Krakowska,0,11952,45,26/4
1822,3,223565,Obr. Poczty Gdańskiej,0,11734,75,19/2
1438,4,207289,Bardowskiego,0,10776,23,51/2
1765,1,222248,Jasionka - Port Lotniczy,1,11649,93,51/1
1061,3,220353,Lubelska MPK,0,11524,94,33/1
1965,4,208649,Baligrodzka,0,10868,95,47/1
1862,3,223566,Miłocińska,0,11735,65,19/3
1857,2,226826,Zwięczycka MPWiK,0,11904,96,15/2
994,4,208655,Matuszczaka,1,11181,54,30/1
1844,4,216207,Potockiego,1,11305,97,11/4
1834,1,223568,Łukasiewicza,1,11736,98,19/7
1972,3,220354,Trembeckiego ZTM,0,11526,62,37/1
1438,4,208658,Bardowskiego,0,11126,23,15/2
954,1,222249,Lubelska MPK p. Racławówkę Doły,0,11638,99,28/2
1929,4,208660,Kalinowa,0,11110,37,16/4
1865,4,208662,Krasne CH,1,11222,61,4/3
1903,4,226827,Kielanówka,0,11919,71,13/2
1962,2,226828,Spichlerzowa,1,11901,67,1/1
756,1,208664,Krakowska,0,11000,9,3/5
1887,1,208665,Przemysłowa U. Celny,0,11081,79,17/3
1937,1,219276,Dworzec Główny PKP,1,11480,31,0A/3
1886,1,208668,Św. Rocha,1,11119,20,16/2
1955,1,225339,Bardowskiego,0,11877,59,35/1
1850,4,208669,Bł. Karoliny p. Wywrockiego,0,10888,100,10/2
1934,1,222251,Ustrzycka Magórska,0,11696,101,6/5
1457,4,207292,Jasionka Strefa S1,1,10776,16,51/2
774,4,208676,Krakowska,0,11244,102,3/1
1819,4,208318,Staroniwska,0,10817,103,9/1
954,1,198351,Lubelska MPK p. Racławówkę Doły,0,10327,99,28/1
1965,4,208680,Baligrodzka,0,10868,95,47/1
1829,4,226829,Lwowska szpital,1,11927,104,34/1
